,index,text,label
0,0,Red through night and rainy air!,1
1,1,"Much in fear of axe and rope,",1
2,2,"Bloodshed, and havoc, on embattled realms,",1
3,3,"Hark!--the floating, long-drawn note",1
4,4,"The _Boat-house_, the _Temple_, the _Hermitage_, all;",1
5,5,"He thus to me: ""The love of good, whate'er",1
6,6,"For noo, unfaithfü' to the Lord,",1
7,7,And eke my ear has heard thee,1
8,8,"Water-Hiisi, with thy terrors,",1
9,9,"Love is not a feeling to pass away,",1
10,10,"His coursers, hindmost of us all arrived.",1
11,11,And threatens all with corage stout.,1
12,12,"A child, thogh he it have foryete,",1
13,13,"Immortal in my love for you,",1
14,14,"'Tis Justice, not our will!",1
15,15,"And he left him, grim and sulky,",1
16,16,Onward and upward to itself again.,1
17,17,Thro' channels feared by the ships.,1
18,18,"Spitous, fell, abominable, B. 845.",1
19,19,As long as the blood still welled warm from his wound Agamemnon,1
20,20,"after all, the lyrical instinct had slept--not died.""",1
21,21,All our dearest,1
22,22,And since I am glad,1
23,23,If yet thou further seek to learn my birth,1
24,24,"Then draw the blankets up and cry,",1
25,25,"Then--at fateful time--a Wrong called,",1
26,26,"_Yareko toto,",1
27,27,And whistled thro' his bones;,1
28,28,"Which took me reading in the sacred book,",1
29,29,"Adonis, Gardens of, ii.; v.",1
30,30,"Incorporate are, as man and wife,",1
31,31,"The faithful priest, now far away,",1
32,32,"Lysander, and Pylartes; as a stream,",1
33,33,And a firm belief in the might of right.,1
34,34,Of all vnpolish'd painting counterfeit.,1
35,35,"Thou heardest not this royal edict cried,",1
36,36,"And the ""jaw-bones,"" who talk all the day.--",1
37,37,Across the salt sea foam,1
38,38,Wild Moors come trooping over the lea,1
39,39,And humming-birds on vibrant wings,1
40,40,"As when the hive swarms, so the crowded street",1
41,41,"I passed in this disguise,",1
42,42,"The rest make up. Unknowing of the cause,",1
43,43,ferrique inuento mens est laetata metallo,1
44,44,"Edged and strong by day, is dull and faint",1
45,45,"scales to creak. Jovial Friars were we, and Bolognese; I",1
46,46,"And princes, present there in fair array,",1
47,47,"In dexter chief; the scroll ""I follow fame.""",1
48,48,Thus much enlightened by the Guide Supreme.,1
49,49,Through the pale door,1
50,50,"Named Adhyatman; comprehending which,",1
51,51,"And when the Baron came to dine,",1
52,52,As I pondered very weary o'er a volume long and dreary --,1
53,53,"And I, like to an Indian scout,",1
